time,x,y,yaw,vel_x,yaw_vel,,time,time,yaw,desired yaw,,,
2.944580317,0.025352982,0.206139495,90.02208838,0.15,-0.001079442,,3.513894081,2.745115519,90.00060574,90,,,
3.004395247,0.025345796,0.221109259,90.03198725,0.15,-0.001079442,,3.571368933,2.80259037,89.99714471,90,,,
3.067310095,0.025340393,0.231155725,90.03432962,0.15,-0.001603361,,3.620789766,2.852011204,89.99415774,90,,,
3.123836279,0.025337427,0.236104337,90.03480451,0.15,-0.001603361,,3.677651405,2.908872843,89.99121499,90,,,
3.171412706,0.025334462,0.241053612,90.03516277,0.15,-0.001700869,,3.731205225,2.962426662,89.99715005,90,,,
3.231250286,0.025328282,0.251103943,90.03379766,0.15,-0.001700869,,3.792324066,3.023545504,89.99855606,90,,,
3.288725853,0.025322517,0.26115527,90.02963449,0.15,-0.001651665,,3.847261906,3.078483343,90.00133812,90,,,
3.347041845,0.025319971,0.26610332,90.02450609,0.15,-0.001651665,,3.902255058,3.133476496,90.0071336,90,,,
3.395923615,0.025318073,0.271052704,90.01980331,0.15,-0.001197593,,3.95098114,3.182202578,90.01168752,90,,,
3.448969603,0.025315379,0.281103002,90.01028689,0.15,-0.001197593,,4.003389359,3.234610796,90.01254928,90,,,
3.513894081,0.025314387,0.291155702,90.00060574,0.15,-0.000502713,,4.054843426,3.286064863,90.01338536,90,,,
3.571368933,0.025314494,0.296107863,89.99714471,0.15,-0.000502713,,4.105225801,3.336447239,90.00881965,90,,,
3.620789766,0.025314895,0.301059947,89.99415774,0.15,0.000139536,,4.16630435,3.397525787,90.00397378,90,,,
3.677651405,0.025316194,0.311111996,89.99121499,0.15,0.000139536,,4.231736183,3.462957621,90.00114827,90,,,
3.731205225,0.025317076,0.321152981,89.99715005,0.15,0.000429316,,4.281901121,3.513122559,89.99806443,90,,,
3.792324066,0.02531726,0.326102624,89.99855606,0.15,0.000429316,,4.339269876,3.570491314,89.99476849,90,,,
3.847261906,0.025317298,0.331050369,90.00133812,0.15,7.06E-05,,4.392548323,3.62376976,89.99027141,90,,,
3.902255058,0.025316649,0.341096391,90.0071336,0.15,7.06E-05,,4.45253396,3.683755398,89.98835017,90,,,
3.95098114,0.0253151,0.35114508,90.01168752,0.15,-0.000348613,,4.541304588,3.772526026,89.99417019,90,,,
4.003389359,0.02531413,0.356095119,90.01254928,0.15,-0.000348613,,4.618306637,3.849528074,89.99906963,90,,,
4.054843426,0.025313162,0.361045655,90.01338536,0.15,-0.000613273,,4.651247263,3.8824687,89.99906963,90,,,
4.105225801,0.02531054,0.371092195,90.00881965,0.15,-0.000613273,,4.70671773,3.937939167,90.00264075,90,,,
4.16630435,0.025309275,0.381142593,90.00397378,0.15,-0.000341444,,4.764914751,3.996136189,90.00804396,90,,,
4.231736183,0.025309035,0.386092866,90.00114827,0.15,-0.000341444,,4.813208818,4.044430256,90.01098323,90,,,
4.281901121,0.025309054,0.391043779,89.99806443,0.15,-5.61E-05,,4.871158361,4.102379799,90.01167063,90,,,
4.339269876,0.025309363,0.396145561,89.99476849,0.15,-5.61E-05,,4.922620058,4.153841496,90.00612453,90,,,
4.392548323,0.025310729,0.406049467,89.99027141,0.15,0.00025566,,4.983768225,4.214989662,90.00176391,90,,,
4.45253396,0.025312469,0.416101283,89.98835017,0.15,0.00025566,,5.042717934,4.273939371,89.9990585,90,,,
4.541304588,0.025313821,0.426143446,89.99417019,0.15,0.000569318,,5.0856812,4.316902637,89.99616628,90,,,
4.618306637,0.025314562,0.436040638,89.99906963,0.15,0.000569318,,5.14018321,4.371404648,89.99116695,90,,,
4.651247263,0.025314562,0.436040638,89.99906963,0.15,0.000194352,,5.190922022,4.422143459,89.98904206,90,,,
4.70671773,0.025314541,0.441138309,90.00264075,0.15,0.000194352,,5.243076324,4.474297762,89.98846938,90,,,
4.764914751,0.02531376,0.451036131,90.00804396,0.15,-0.000393102,,5.304903269,4.536124706,89.99006223,90,,,
4.813208818,0.025312165,0.461085936,90.01098323,0.15,-0.000393102,,5.358136177,4.589357615,89.99401663,90,,,
4.871158361,0.025311305,0.466036607,90.01167063,0.15,-0.000536742,,5.414121151,4.645342588,89.99962489,90,,,
4.922620058,0.025309134,0.476082292,90.00612453,0.15,-0.000536742,,5.469459534,4.700680971,90.00578737,90,,,
4.983768225,0.025308248,0.486133385,90.00176391,0.15,-0.00022467,,5.523709774,4.754931211,90.01024668,90,,,
5.042717934,0.025308195,0.491083744,89.9990585,0.15,-0.00022467,,5.576394558,4.807615995,90.01094213,90,,,
5.0856812,0.025308388,0.496034847,89.99616628,0.15,0.000187351,,5.634488821,4.865710258,90.01152439,90,,,
5.14018321,0.025309567,0.506088757,89.99116695,0.15,0.000187351,,5.685330153,4.91655159,90.0060212,90,,,
5.190922022,0.025311297,0.516141354,89.98904206,0.15,0.000337503,,5.742141247,4.973362684,90.00074801,90,,,
5.243076324,0.025311958,0.521091952,89.98846938,0.15,0.000337503,,5.799578905,5.030800343,89.99783798,90,,,
5.304903269,0.025312838,0.526040219,89.99006223,0.15,0.000485651,,5.845399618,5.076621056,89.99158865,90,,,
5.358136177,0.025313422,0.531135486,89.99401663,0.15,0.000485651,,5.901722908,5.132944345,89.98992041,90,,,
5.414121151,0.025314029,0.541031287,89.99962489,0.15,0.000170004,,5.957589149,5.188810587,89.98992041,90,,,
5.469459534,0.025313672,0.551077926,90.00578737,0.15,0.000170004,,6.005300283,5.236521721,89.98811448,90,,,
5.523709774,0.02531234,0.561127016,90.01024668,0.15,-0.000403669,,6.062848806,5.294070244,89.99335706,90,,,
5.576394558,0.025311546,0.566077364,90.01094213,0.15,-0.000403669,,6.113436937,5.344658375,89.99625395,90,,,
5.634488821,0.025310566,0.571028133,90.01152439,0.15,-0.000534733,,6.166323662,5.397545099,89.99935713,90,,,
5.685330153,0.025308627,0.581074381,90.0060212,0.15,-0.000534733,,6.228307486,5.459528923,90.00515451,90,,,
5.742141247,0.025307923,0.591124786,90.00074801,0.15,-0.000294251,,6.288202763,5.5194242,90.00723696,90,,,
5.799578905,0.025307968,0.596075337,89.99783798,0.15,-0.000294251,,6.350237131,5.581458569,90.00935277,90,,,
5.845399618,0.025308883,0.606128778,89.99158865,0.15,0.000255295,,6.408186197,5.639407635,90.00861408,90,,,
5.901722908,0.025309715,0.611080679,89.98992041,0.15,0.000255295,,6.471832991,5.703054428,90.00628253,90,,,
5.957589149,0.025309715,0.611080679,89.98992041,0.15,0.000492582,,6.529359102,5.76058054,90.00363792,90,,,
6.005300283,0.025311533,0.621132986,89.98811448,0.15,0.000492582,,6.586528778,5.817750216,90.00059173,90,,,
6.062848806,0.025313852,0.636128327,89.99335706,0.15,0.000446021,,6.691941977,5.923163414,89.99133549,90,,,
6.113436937,0.025314323,0.641075874,89.99625395,0.15,0.000446021,,6.73605895,5.967280388,89.98984068,90,,,
6.166323662,0.025314558,0.646023576,89.99935713,0.15,3.14E-05,,6.790433884,6.021655321,89.98897181,90,,,
6.228307486,0.025314278,0.656070673,90.00515451,0.15,3.14E-05,,6.846688986,6.077910423,89.9882129,90,,,
6.288202763,0.025313798,0.661020213,90.00723696,0.15,-0.000251897,,6.892558575,6.123780012,89.99299767,90,,,
6.350237131,0.025312389,0.671070315,90.00935277,0.15,-0.000251897,,6.939153194,6.170374632,89.99734841,90,,,
6.408186197,0.02531048,0.681120161,90.00861408,0.15,-0.000457063,,6.994140387,6.225361824,90.00034225,90,,,
6.471832991,0.02530984,0.686069395,90.00628253,0.15,-0.000457063,,7.058448315,6.289669752,90.0060627,90,,,
6.529359102,0.025309364,0.691019112,90.00363792,0.15,-0.000307022,,7.106273174,6.337494612,90.00965884,90,,,
6.586528778,0.025309156,0.69611934,90.00059173,0.15,-0.000307022,,7.169735193,6.400956631,90.01026538,90,,,
6.691941977,0.025310193,0.711123843,89.99133549,0.15,0.0002694,,7.232112408,6.463333845,90.01105638,90,,,
6.73605895,0.025311041,0.716075675,89.98984068,0.15,0.0002694,,7.294558764,6.525780201,90.00613866,90,,,
6.790433884,0.025311936,0.721026976,89.98897181,0.15,0.000496478,,7.355470181,6.586691618,90.00022796,90,,,
6.846688986,0.025312812,0.726127693,89.9882129,0.15,0.000496478,,7.398888111,6.630109549,89.99721337,90,,,
6.892558575,0.02531437,0.736022398,89.99299767,0.15,0.000342198,,7.45259881,6.683820248,89.99104711,90,,,
6.939153194,0.025315307,0.746069484,89.99734841,0.15,0.000342198,,7.509332895,6.740554333,89.98975458,90,,,
6.994140387,0.025315455,0.751017233,90.00034225,0.15,0.000129581,,7.560531616,6.791753054,89.98827852,90,,,
7.058448315,0.025315028,0.761064729,90.0060627,0.15,0.000129581,,7.610150099,6.841371536,89.98881827,90,,,
7.106273174,0.025313624,0.771114114,90.00965884,0.15,-0.000296279,,7.676404238,6.907625675,89.99584777,90,,,
7.169735193,0.025312926,0.776064684,90.01026538,0.15,-0.000296279,,7.738233089,6.969454527,89.99892069,90,,,
7.232112408,0.025311765,0.781015904,90.01105638,0.15,-0.000501661,,7.789197206,7.020418644,90.00591867,90,,,
7.294558764,0.025310199,0.791063406,90.00613866,0.15,-0.000501661,,7.852040052,7.08326149,90.00824378,90,,,
7.355470181,0.025309561,0.8011138,90.00022796,0.15,-0.000299991,,7.901079893,7.132301331,90.01117937,90,,,
7.398888111,0.025309659,0.806064773,89.99721337,0.15,-0.000299991,,7.95691824,7.188139677,90.01183725,90,,,
7.45259881,0.025310707,0.816118741,89.99104711,0.15,0.000288805,,8.017557621,7.248779058,90.01114961,90,,,
7.509332895,0.025311573,0.821070472,89.98975458,0.15,0.000288805,,8.064658642,7.295880079,90.00503852,90,,,
7.560531616,0.025313261,0.83112223,89.98827852,0.15,0.000500685,,8.124405146,7.355626583,89.99863104,90,,,
7.610150099,0.025314051,0.8360723,89.98881827,0.15,0.000500685,,8.178333759,7.409555197,89.99265892,90,,,
7.676404238,0.025315214,0.846115131,89.99584777,0.15,0.000546442,,8.237534285,7.468755722,89.98985194,90,,,
7.738233089,0.025315489,0.851062918,89.99892069,0.15,0.000546442,,8.309186935,7.540408373,89.98885079,90,,,
7.789197206,0.025315213,0.861109179,90.00591867,0.15,5.27E-05,,8.357697964,7.588919401,89.98812381,90,,,
7.852040052,0.025314669,0.866058513,90.00824378,0.15,5.27E-05,,8.408815145,7.640036583,89.98745165,90,,,
7.901079893,0.025312916,0.876108095,90.01117937,0.15,-0.000492321,,8.460375786,7.691597223,89.99286276,90,,,
7.95691824,0.025312149,0.881059195,90.01183725,0.15,-0.000492321,,8.509949923,7.74117136,89.9987191,90,,,
8.017557621,0.025310746,0.886009303,90.01114961,0.15,-0.000578477,,8.572495699,7.803717136,90.00180917,90,,,
8.064658642,0.025309395,0.896056519,90.00503852,0.15,-0.000578477,,8.635723829,7.866945267,90.00690374,90,,,
8.124405146,0.025308997,0.90610721,89.99863104,0.15,-0.000246229,,8.691803455,7.923024893,90.00900248,90,,,
8.178333759,0.02530973,0.916010309,89.99265892,0.15,-0.000246229,,8.755506277,7.986727715,90.00933318,90,,,
8.237534285,0.025310534,0.921112453,89.98985194,0.15,0.000358753,,8.806450844,8.037672281,90.0061462,90,,,
8.309186935,0.025311471,0.926064027,89.98885079,0.15,0.000358753,,8.904898167,8.136119604,90.00401558,90,,,
8.357697964,0.02531231,0.931015006,89.98812381,0.15,0.00058038,,8.965567827,8.196789265,89.99779647,90,,,
8.408815145,0.025313086,0.936115694,89.98745165,0.15,0.00058038,,9.040919781,8.272141218,89.99518335,90,,,
8.460375786,0.025314794,0.946010738,89.99286276,0.15,0.000348791,,9.087857723,8.319079161,89.99255699,90,,,
8.509949923,0.025315603,0.956056216,89.9987191,0.15,0.000348791,,9.144285202,8.375506639,89.9902668,90,,,
8.572495699,0.025315648,0.961004227,90.00180917,0.15,-8.84E-05,,9.203595877,8.434817314,89.98852249,90,,,
8.635723829,0.025314978,0.971052475,90.00690374,0.15,-8.84E-05,,9.256756544,8.487977982,89.9924879,90,,,
8.691803455,0.025313554,0.981102317,90.00900248,0.15,-0.000337381,,9.311676979,8.542898417,89.99461689,90,,,
8.755506277,0.025311763,0.991003703,90.00933318,0.15,-0.000337381,,9.376694202,8.60791564,90.00063023,90,,,
8.806450844,0.025311108,0.996101462,90.0061462,0.15,-0.000456105,,9.425448656,8.656670094,90.00690218,90,,,
8.904898167,0.025310625,1.001051639,90.00401558,0.15,-0.000456105,,9.48415184,8.715373278,90.00883073,90,,,
8.965567827,0.025310414,1.011102415,89.99779647,0.15,-5.51E-05,,9.545533657,8.776755095,90.0108913,90,,,
9.040919781,0.025310708,1.016053761,89.99518335,0.15,-5.51E-05,,9.607069731,8.838291168,90.01169983,90,,,
9.087857723,0.025311241,1.021005766,89.99255699,0.15,0.000235386,,9.668945789,8.900167227,90.00947846,90,,,
9.144285202,0.025312036,1.026107806,89.9902668,0.15,0.000235386,,,,,,,,
9.203595877,0.025313771,1.036009997,89.98852249,0.15,0.000475654,,,,,,,,
9.256756544,0.025315373,1.046054912,89.9924879,0.15,0.000475654,,,,,,,,
9.311676979,0.02531586,1.051003403,89.99461689,0.15,0.00036711,,,,,,,,
9.376694202,0.025316347,1.061048614,90.00063023,0.15,0.00036711,,,,,,,,
9.425448656,0.025315844,1.071095743,90.00690218,0.15,-3.08E-05,,,,,,,,
9.48415184,0.025315214,1.076045316,90.00883073,0.15,-3.08E-05,,,,,,,,
9.545533657,0.025313481,1.086095295,90.0108913,0.15,-0.000494174,,,,,,,,
9.607069731,0.025312448,1.091046957,90.01169983,0.15,-0.000494174,,,,,,,,
9.668945789,0.025311406,1.095995635,90.00947846,0.15,-0.000571762,,,,,,,,
