time,x,y,yaw,vel_x,yaw_vel
5.735781193,0.525017763,-0.107432193,20588.21757,0,0
5.803871632,0.526565193,-0.108673504,20586.94065,0,0
5.869830847,0.529433197,-0.111130456,20584.5091,0,0
5.925425053,0.53062928,-0.112222287,20583.24908,0,0
6.009029865,0.5329796,-0.114503798,20581.10302,0,0
6.085781813,0.535039402,-0.116649407,20579.1882,0,0
6.144613028,0.535947151,-0.1176421,20578.32227,0,-0.15
6.194834471,0.53678723,-0.118588286,20577.50777,0,0
6.251247168,0.538141512,-0.120182009,20575.67899,0,0
6.322001219,0.539436303,-0.121800118,20574.3009,0,0
6.377398491,0.540454908,-0.123130564,20573.00161,0,0
6.434947729,0.540874312,-0.123698826,20572.28447,0,0
6.495238304,0.541252853,-0.124225365,20571.6123,0,-0.15
6.565776587,0.541600734,-0.124720661,20570.96796,0,-0.15
6.61794591,0.541983556,-0.125279163,20570.48866,0,-0.15
6.681888342,0.542867892,-0.126607109,20569.46172,0,-0.15
6.735972643,0.54307149,-0.126920274,20569.22134,0,-0.15
6.799687624,0.543294028,-0.1272647,20568.73079,0,0
6.852796555,0.543372005,-0.127387169,20568.60273,0,0
6.908960819,0.5433674,-0.127377237,20568.38703,0,0
6.978891611,0.543253902,-0.127190427,20568.01813,1.5,0
7.0532763,0.543249188,-0.127182672,20567.99043,1.5,0
7.124495506,0.543366595,-0.12737366,20568.16477,0,0
7.195692539,0.543597771,-0.127748261,20568.4452,1.5,0
7.250868797,0.54398445,-0.128365821,20568.93242,1.5,0
7.325368881,0.544417729,-0.129045223,20569.29122,1.5,0
7.361855984,0.544650177,-0.129406552,20569.33934,0,0
7.43548131,0.545220246,-0.130282892,20569.95348,0,0
7.487273455,0.545693217,-0.1309953,20570.28484,0,0
7.543801308,0.54595517,-0.131386908,20570.32381,1.5,0
7.625707626,0.546680958,-0.132464303,20570.77077,0,0
7.699808836,0.547675139,-0.133915457,20570.88811,0,0
7.77974081,0.547998891,-0.134388181,20570.8492,1.5,0
7.860661983,0.549604603,-0.13671889,20571.37492,0,0
7.92557621,0.550761134,-0.138371479,20571.54209,1.5,0
7.971699476,0.552307557,-0.140571797,20571.7111,0,0
8.038265705,0.552577641,-0.140953867,20571.82527,1.5,0
8.102814436,0.552699216,-0.141125453,20571.86949,0,0
8.179428816,0.552885302,-0.141387435,20571.87935,1.5,0
8.240784883,0.553018678,-0.141575055,20571.91714,0,0
8.299603701,0.55319256,-0.141819699,20571.91478,0,0
8.354228735,0.554593944,-0.143789527,20571.77554,0,0
8.42022872,0.557287616,-0.147631871,20571.06863,1.5,0
8.473999977,0.55874455,-0.14975327,20570.89785,1.5,0
8.534976244,0.560172467,-0.151840676,20570.7065,0,0
8.597741842,0.561569389,-0.153899641,20570.59736,0,0
8.660221577,0.565782495,-0.160189447,20569.91854,1.5,0
8.741035223,0.56911389,-0.165343917,20568.77772,1.5,0
8.774792194,0.56911389,-0.165343917,20568.77772,0,0
8.831566572,0.570510372,-0.167561469,20568.57968,0,0
8.895282745,0.573607459,-0.172531158,20568.14751,0,0
8.963597536,0.577783938,-0.179383625,20567.61843,0,0
9.037392139,0.581936522,-0.186307178,20567.26166,1.5,0
9.101113081,0.584271121,-0.190214241,20567.50168,0,0
9.157140732,0.58652949,-0.193950355,20567.72207,1.5,0
9.223842144,0.588856048,-0.19776835,20568.04859,1.5,0
9.281214476,0.591304752,-0.201731639,20568.25169,1.5,0
9.347704887,0.598868561,-0.21385968,20568.5572,0,0
9.390350342,0.601718519,-0.218401384,20568.59257,1.5,0
9.472651958,0.608328875,-0.22898812,20568.20958,0,0
9.524643421,0.611510613,-0.234142,20568.20747,1.5,0
9.582499266,0.614398954,-0.238787814,20568.62008,0,0
9.655468464,0.62044451,-0.248334126,20568.76147,0,0
9.727521896,0.627435669,-0.259505106,20568.39311,1.5,0
9.784739256,0.630790813,-0.264900035,20568.24044,1.5,0
9.844228745,0.63378902,-0.269778208,20567.74163,0,0
9.905669689,0.636528873,-0.274357252,20566.82937,1.5,0
10.02510548,0.64320801,-0.286624813,20563.15214,0,0
10.08608842,0.644929214,-0.290140823,20561.67914,1.5,0
10.14702725,0.647455327,-0.295924094,20557.94477,1.5,0
10.19744372,0.64840796,-0.298436667,20556.21488,1.5,0
10.25989318,0.649978801,-0.30317654,20553.41212,0,0
10.33869314,0.651121999,-0.307148702,20551.47811,1.5,0
10.39292479,0.651674539,-0.309232065,20551.24776,1.5,0
10.45046568,0.65230209,-0.311601493,20551.43263,0,0
10.50903606,0.65360471,-0.316427436,20551.73029,0,0
10.56398678,0.655327205,-0.322624562,20552.18139,1.5,0
10.63064694,0.656136479,-0.325500138,20552.24517,0,0
10.71667242,0.656702217,-0.327495293,20552.44872,1.5,0
10.79138207,0.657726977,-0.331038079,20552.80993,1.5,0
10.84367156,0.658202108,-0.332652657,20552.97413,0,0
10.92006373,0.659680589,-0.337648075,20552.82061,1.5,0
10.9656949,0.659680589,-0.337648075,20552.82061,0,0
11.01070642,0.661609645,-0.344433593,20551.69158,0,0
11.07211041,0.663221578,-0.350485701,20551.3495,1.5,0
11.12729931,0.663780086,-0.352572394,20551.75432,0,0
11.18650651,0.664331163,-0.354570626,20552.00487,0,0
11.23538589,0.665631649,-0.359290674,20551.73699,1.5,0
11.29837132,0.667121157,-0.364796529,20551.41752,1.5,0
11.36843872,0.668945717,-0.371656188,20551.40731,1.5,0
11.41635394,0.670021768,-0.375675586,20551.59162,1.5,0
11.48927712,0.67226494,-0.383940465,20551.52355,0,0
11.54793882,0.674447346,-0.392059688,20551.86537,0,0
11.60015345,0.675791654,-0.396824932,20552.74519,0,0
11.6663475,0.677201546,-0.401541868,20553.45943,0,0
11.73488688,0.678728755,-0.406468129,20554.01976,1.5,0
11.79259753,0.682500182,-0.417962721,20555.10196,0,0
11.87676978,0.686516398,-0.429702415,20555.50916,1.5,0
11.97709394,0.69054621,-0.441293563,20555.77765,0,0
12.04860997,0.692601094,-0.447159142,20555.85319,0,0
12.09545755,0.694379208,-0.452195454,20556.05994,0,0
12.19089484,0.697287114,-0.460262487,20556.60353,0,0
12.25314665,0.698360456,-0.46318383,20556.79942,0,0
12.30176854,0.699188379,-0.465419389,20556.90477,0,0
12.36559534,0.70009393,-0.467854412,20556.83002,0,0
12.44771504,0.700176319,-0.468074889,20556.7166,0,0
12.50837278,0.700176949,-0.468076582,20556.71359,0,0
12.56872773,0.700178206,-0.468080021,20556.70748,0,0
12.63535523,0.700178822,-0.468081715,20556.70447,0,0
12.68497562,0.700180071,-0.468085139,20556.69837,0,0
12.75615311,0.700181297,-0.468088497,20556.6924,0,0
12.81916952,0.700181927,-0.46809022,20556.68933,0,0
12.86861134,0.700182538,-0.46809189,20556.68636,0,0
12.93749905,0.700183151,-0.468093559,20556.68339,0,0
13.01634002,0.700184425,-0.468096939,20556.67737,0,0
13.09179783,0.700185052,-0.468098604,20556.67441,0,0
13.13357329,0.700186323,-0.468101984,20556.66839,0,0
13.20312715,0.700187593,-0.468105362,20556.66237,0,0
13.26901817,0.700188218,-0.468107026,20556.65941,0,0
13.34419227,0.700189484,-0.468110403,20556.65339,0,0
13.39144468,0.700190108,-0.468112066,20556.65042,0,0
13.45106387,0.700191372,-0.468115442,20556.64441,0,0
13.50720406,0.700192615,-0.468118765,20556.63848,0,0
13.5697484,0.700193255,-0.468120477,20556.63543,0,0
13.62146735,0.700193876,-0.468122137,20556.63247,0,0
13.67001033,0.700194496,-0.468123798,20556.62951,0,0
13.72607875,0.700195754,-0.468127167,20556.6235,0,0
13.77997661,0.700197011,-0.468130535,20556.6175,0,0
13.84237385,0.700197629,-0.468132193,20556.61454,0,0
13.9023819,0.700198247,-0.468133851,20556.61158,0,0
13.9815948,0.7001995,-0.468137216,20556.60558,0,0
14.0311842,0.700200116,-0.468138872,20556.60262,0,0
14.10056663,0.700201366,-0.468142234,20556.59662,0,0
14.15466499,0.700202614,-0.468145595,20556.59062,0,0
14.21792412,0.700203228,-0.468147249,20556.58766,0,0
14.29905367,0.700204474,-0.468150608,20556.58167,0,0
14.38146949,0.7002057,-0.468153914,20556.57576,0,0
14.44287491,0.700206331,-0.468155618,20556.57272,0,0
14.51507068,0.700206943,-0.46815727,20556.56977,0,0
14.56259203,0.700207554,-0.468158923,20556.56681,0,0
14.61231685,0.700208795,-0.468162277,20556.56082,0,0
14.66550255,0.700210035,-0.468165629,20556.55483,0,0
14.72191286,0.700210645,-0.46816728,20556.55188,0,0
14.78798437,0.700211254,-0.468168931,20556.54892,0,0
14.85098839,0.700211882,-0.468170631,20556.54588,0,0
14.89973474,0.700213727,-0.468175631,20556.53694,0,0
14.96521258,0.700214335,-0.468177281,20556.53399,0,0
15.010849,0.700214943,-0.46817893,20556.53104,0,0
15.07109404,0.700216177,-0.468182278,20556.52505,0,0
15.12135673,0.700217409,-0.468185625,20556.51906,0,0
15.1755898,0.700218016,-0.468187273,20556.51611,0,0
15.24273562,0.700218622,-0.468188921,20556.51317,0,0
15.28958774,0.700219247,-0.468190619,20556.51013,0,0
15.36110234,0.700221082,-0.468195611,20556.50119,0,0
15.42485356,0.700221688,-0.468197258,20556.49824,0,0
15.48111534,0.700222916,-0.468200601,20556.49225,0,0
15.53616953,0.70022352,-0.468202248,20556.4893,0,0
15.59339809,0.700224747,-0.46820559,20556.48332,0,0
15.6605804,0.700225955,-0.468208882,20556.47742,0,0
15.72723126,0.700226576,-0.468210578,20556.47438,0,0
15.7940414,0.70022718,-0.468212223,20556.47143,0,0
15.8378315,0.700228404,-0.468215563,20556.46544,0,0
15.88270307,0.700229007,-0.468217209,20556.46249,0,0
15.9552865,0.70023023,-0.468220548,20556.45651,0,0
16.00128698,0.700230832,-0.468222193,20556.45356,0,0
16.05182385,0.700232054,-0.468225531,20556.44757,0,0
16.10649014,0.700233257,-0.46822882,20556.44167,0,0
16.16323614,0.700233876,-0.468230513,20556.43863,0,0
16.23280311,0.700234477,-0.468232157,20556.43568,0,0
16.33316803,0.700235697,-0.468235494,20556.42969,0,0
16.37696171,0.700236297,-0.468237138,20556.42674,0,0
16.44394517,0.700236898,-0.468238781,20556.42379,0,0
16.50431943,0.700238116,-0.468242117,20556.4178,0,0
16.60962558,0.700239334,-0.468245453,20556.41182,0,0
16.67757869,0.700240533,-0.468248738,20556.40592,0,0
16.72875452,0.70024115,-0.46825043,20556.40288,0,0
16.79666615,0.700241749,-0.468252073,20556.39993,0,0
16.85156918,0.700242348,-0.468253715,20556.39698,0,0
16.91411734,0.700243564,-0.468257049,20556.39099,0,0
16.97547054,0.700244779,-0.468260382,20556.38499,0,0
17.04697251,0.700245377,-0.468262024,20556.38204,0,0
17.10959482,0.700246591,-0.468265357,20556.37605,0,0
17.16767764,0.700247188,-0.468266998,20556.3731,0,0
17.24519014,0.700247786,-0.46826864,20556.37015,0,0
17.30041838,0.700249596,-0.468273613,20556.36121,0,0
17.36319137,0.700250211,-0.468275303,20556.35817,0,0
